Tweets,Score,Sentiment,
203,showcase your knowledge about chennai amp win free rides for a montholamadras madrasday,0.33,Positive
204,heres the first question q1 which film makers company is called madras talkies olamadras,-0.1,Negative
205,winner of each question will get ola money amp the grand winner who gets all questions right gets free rides in chennai for a month olamadras,0.22,Positive
206,dont forget to follow us andthe contest tweet olamadras,-0.14,Negative
207,"the answer is indeed maniratnam congratzfor winning q1 
q2 coming right up olamadras",0.38,Positive
208,q2 corporation of madras is the oldest municipal body in the commonwealth nations outside britain when was it established olamadras,-0.091,Negative
209,yep the answer is indeed 1688 congratsq3 coming next keep ing and spread the news olamadras,0.091,Positive
210,q3 pincode 600036 represents which area olamadras,0,Neutral
211,that is the correct answer for q3 congrats olamadras,0.25,Positive
212,q4 bbq not referring to barbecue is a railway station code for which station olamadras,0,Neutral
213,perfect answerq5 coming up soon,0.5,Positive
214,heres number 5 q5 what is the entire length of the marina beach olamadras,0,Neutral
215,thats the correct answer to q5 congratsolamadras,0.25,Positive
216,in madras or chennai tamil slang when a person is called a ‘peter’ or a ‘mary’ what is he doing olamadras,0.11,Positive
217,hehe thats rightq7 coming next olamadras,0.17,Positive
218,q7 where in chennai would you have a hindu shrine a buddhist shrine and a church in one place olamadras,0,Neutral
219,thats rightcongrats the next question coming up shoy olamadras,0,Neutral
220,q8 which team did india face in the first test match played on the ground now called the ma chidambaram stadium olamadras,0.077,Positive
221,thats rightcongrats on getting q8 right q9 coming up olamadras,0.33,Positive
222,q9 this is one of the 4 national depository centres it receives a copy of all newspapers and books published in india olamadras,0,Neutral
223,thats rightthe final question of olamadras coming up,0,Neutral
224,here is the final question q10 what is the motto of the chennai corporation olamadras,-0.17,Negative
225,congratulationson winning an allexpenses paid trip to dubai,0.17,Positive
226,that is indeed rightthe final grand prize will be announced in the next 15 mins olamadras,0.3,Positive
227,congrats to all the olamadras winners please dm us your full name phone number and email id grand prize winner to be announced sholy,0.36,Positive
228,grand prize winner for the madrasday quiz iscongrats mike dm your us full name phone number amp email address olamadras,0.2,Positive
229,jammedinacab,0,Neutral
230,six tips to have a great experience on your olashare ride head here to read more,0.12,Positive
231,hi kumaran please dm your details to receive your prize for olamadras,0.33,Positive
232,roadtrip to wagah withampsee the amazing blr2border photos on,0.17,Positive
233,"perhaps next time you could watch this instead 
",0.2,Positive
234,impressive indeed that wouldve been a ride to remember drivernowplaying,0.17,Positive
235,copassengerbelike sharetales,0,Neutral
236,tried ridesharing that would help put lesser cars on the road thus reducing traffic olashare,0.091,Positive
237,we didnt have to our customers have done it for us,0,Neutral
238,hey neha we have taken care of this peace,0.2,Positive
239,"our first interactive post on fb chegg it out here 
olashareftw olashareprotips",0,Neutral
240,any trips planned for the long weekend next week,-0.17,Negative
241,well theres still a weeks time plan one rachit olaoutstation,0.22,Positive
242,we have a few coming up watch this spaceolaoutstation,0.33,Positive
243,awesome deepak,0.5,Positive
244,something awesome coming up stay tuned raj olaoutstation,0.29,Positive
245,guess we match better thansharetales,0.25,Positive
246,all the while doing your bit for environment great going akhil,0.25,Positive
247,right back at you deepika wish you a great day,0.33,Positive
248,"love jazz music show us your jazzamp blues playlist and win passes for this event…
bangalore jazz",0.083,Positive
249,"tell us your favourite jazz song amp win passes for indigo amp blues – international jazz amp blues festival 
bangalore",0.062,Positive
250,please dm us your email address and phone number asap thanks,0.29,Positive
251,please dm us your email address and phone number asap thanks,0.29,Positive
252,share names of littleknown travel destinations in india amp go on a trip sponsored by olaoutstation amp,0,Neutral
253,"if you are in varanasi you can help too were collecting relief material olaboat
read",0.25,Positive
254,thanks if you are in varanasi or allahabad were collecting relief material do help out olaboat,0.38,Positive
255,weve deployed olaboat to help ppl in flood effected areas in varanasi and allahabad you can help,0.25,Positive
256,"open the ola app 27 29 aug from 8am6pm hit donate amp contribute olaboat read
",0.18,Positive
257,were glad that were able to help if you are in varanasi or allahabadplease help,0.5,Positive
258,hi please dm us your email id and phone number well get in touch with you very soon with the details,0.22,Positive
259,thank youfor the lovely words and the photos olalux,0.33,Positive
260,a stylish olalux ride withand,0.25,Positive
261,sharetales,0,Neutral
262,while the upgrade mustve felt great its nowhere close to the glory yogeshwardutt has brought to the country,0.3,Positive
263,thank you for your donations amp relief suppo for those affected by the assamfloods thanks for these smiles,0.56,Positive
264,vote for the most offbeat weekend getaway and make the person who suggested the destination win olaoutstation,0.2,Positive
265,yash we have olashuttles in noida sec 62 palam vihar sohna rd transpoing people to the nearest metros spread the word,0,Neutral
266,if youre stuck anywhere due to the delhirains let ola shuttle drop you to the nearest metro station stay safe,0,Neutral
267,olashuttles in noida sector 62 munirka are transpoing people to the nearest metro st plzdelhirains,0,Neutral
268,hi waqas this is a free service to help people stuck at waterlogged areas,0.12,Positive
269,thank youwe try to do everything to keep our cities moving,0.14,Positive
270,rush your entries in and win the contest ends tomorrowolaoutstation,0.17,Positive
271,were equally infuriated by the incident and are working hand in hand with the govt to ensure justice is done,0,Neutral
272,happy to inspire such sweet thoughts,1,Positive
273,if youre stuck in delhirains tweet your location with olarescue amp well try to send our rescue team to help you stay safe please,0.19,Positive
274,itsa free service,0.33,Positive
275,congratulations megha please dm us your email address and phone number,0.29,Positive
276,congratulations kushal please dm us your email address and phone number,0.29,Positive
277,are you stuck in the rain can we help move you to a safer location olarescue,0,Neutral
278,our team is out trying to help people stuck in delhirains please tweet your location if you need help olarescue,0.17,Positive
279,cabs will be available throughout,0.5,Positive
280,cocktail trivia name the fruit used to flavour southerncomfo amp win a pass for bangalores biggest pubcrawl,0.15,Positive
281,no olamoney javeed,0,Neutral
282,were shocked to hear this our team is now at the airpo looking into the matter to avoid any such activitiesthanks,-0.11,Negative
283,meenakshi you could use our ride later feature on the app and book yourself a ride in adv,0.11,Positive
284,you have both the options available to you have a safe trip,0.5,Positive
285,"err guess we need to addhave a bath before you ride as one of the sharetips noted
",-0.11,Negative
286,may the blessings of lord ganesh be always upon you happy ganeshchatuhi everyone,0.22,Positive
287,"bangalores own edm festivalis happening on 10th sept amp we might have a contest for you folks
interestedto let us know",0,Neutral
288,worry not rachit we may have something coming up for you fivesixzero edm,0,Neutral
289,chiyaan fans ready to watch irumugan in the opening weekend we have something just for youand spread the word olairumugan chennai,0.29,Positive
290,contest ale irumugan tickets up for grabsolairumugan,0,Neutral
291,chennai take an olashare amp share your osn for a chance to win irumugan tickets olairumugan dont forget to,0,Neutral
292,olalux made especially for those who recognize style,0,Neutral
293,or alternatively you could just olaprime it to work primewithwifi primeperks workfromola,0.29,Positive
294,all the best to our entire team at the paralympics,0.25,Positive
295,flash your ola mini or prime invoice at the counter and get 50 off to the land of thrill,0.11,Positive
296,chennai have you taken an olashare ride recently share your osn with the ht olairumugan amp win couple passes,0,Neutral
297,chennai have you taken an olashare recently share your osn with the ht olairumugan amp win irumugan tickets,0.091,Positive
298,hey ashvin can you please dm us,0.25,Positive
299,share your osn and win olairumugan,0.25,Positive
300,dont forget to share your osn on twitter using the ht olairumugan,0,Neutral
301,haha you guys we did fix the bill immediately though ps no engineers were harmed during this entire story,-0.1,Negative
302,"contest ale want to pay atin bangalore this weekend 

 to get staed",0,Neutral
303,olaprimeandchill,0,Neutral
304,"lets sta fivesixzerowithola

show us your best edm moves to win couple passes forbangalore",0.091,Positive
305,"explain edm in 3 words

best answers win passes for
bangalore fivesixzerowithola",0.11,Positive
306,congratsampfor winning in olairumugan share your osn amp win irumugan tickets,0.22,Positive
307,proud to announce indias first comprehensive program for 40kdrivers woh 400mn with,0.25,Positive
308,great going dr rashi,0.5,Positive
309,thumbs up to ola for taking it spoingly,0,Neutral
310,relive the romance with simranamp raj head to ubcity in an olaprime to watch ddljlegendaryedition,0,Neutral
311,thank you guys for paicipating in fivesixzerowithola we are going through the entries and well get in touch with the winners soon,0.3,Positive
312,hi sunil dm us for a surprise,0,Neutral
313,olaprime presents restaurant week prebookings open for ola customers on 9septprimerwi,0.11,Positive
314,that depends what are you looking forluxurysedansuvminiauto all available on the ola app book now,0.25,Positive
315,welcome to the primelife friend wed like to take that rating up from pretty good to super awesome,0.64,Positive
316,restaurantweek is back folks make your reservations right away atprimerwi,0.12,Positive
317,ah we phell for it,0,Neutral
318,hope this onam turns out to be a great celebration for you happyonam,0.5,Positive
319,sorry to hear this we do not allow discrimination on any grounds pl repo the crn you faced this on to,-0.25,Negative
320,olalux a stylish ride for those who know the a of arriving,0.2,Positive
321,hey were glad we could be there,0.5,Positive
322,oh wow that looks sooooo good primerwi,0.4,Positive
323,andthank you for this wonderful oppounity it was really an offbeat experience,0.17,Positive
324,were with youanything to keep our folks moving safetyfirst,0,Neutral
325,may we suggest olaprimesuv,0,Neutral
326,autoconnect ftw,0.5,Positive
327,thinking within the box,0,Neutral
328,hey mail us at alliancesatolacabsdotcom,0,Neutral
329,in engineers we trustengineersday,0,Neutral
330,were constantly educating our drivers against unpleasant personal habits sharing your feedback with the team thanks,0.2,Positive
331,we do have a feature that allows you to give directions to the driver,0,Neutral
332,due to the fire incidentweve removed peak charges on all rides from kandivali lets keep mumbai moving olahelp,0,Neutral
333,,,
334,dyk you can rent an ola for 48 hrs mini prime suv or lux choose your pick olarental cabthatwaits,0,Neutral
335,offer get upto rs400 cashback on olarental with the code fbrentals read morecabthatwaits,0.11,Positive
336,fridayfeeling pub crawl pub crawif you wanna pub crawlmake sure you rent an ola for the night dontdrinkanddrive,0,Neutral
337,hahaha welcome to the prime lifeit sure has its sideeffects olaprime wifirides,0.12,Positive
338,is it olaoutstation that you are looking for,0,Neutral
339,autorecharge on olamoney is now live go ahead set it up and never run outta money omautorecharge,0.091,Positive
340,"tried olamicro its always on discount 
ps we too love the videos",0.17,Positive
341,"got password 
you dont need one with autoconnectwifi olaprime",0,Neutral
342,clearly you havent read the right way to olashare,0.33,Positive
343,hey mumbai take atleast 3 prime rides amp get complimentary tickets to themudrush hurry offer ends tomorrow,0.067,Positive
344,,,
345,primesuv riders were in for a surprise meetingas their cab driver heres a sneakpeek olatestdrive,0,Neutral
346,"winners will get mud run amp pro race pass1 per winner amp
spectator pass2 per winner",0.12,Positive
347,tests his song harkat from his upcoming album with unwary riders in an ola primesuv olatestdrive,0,Neutral
348,wallet recharge is a one time thing now update your ola app and activate auto recharge on olamoney,0.077,Positive
349,this indie musician turned an ola cab driver for a dayviaolatestdrive primesuv,0,Neutral
350,how was it,,
351,welcome to the primelife friend,0.67,Positive
352,takes ola primesuv customers for a test drive viabrandequity olatestdrive,0,Neutral
353,welcome to the primelife friend and life is definitely better with wifi,0.43,Positive
354,hey mumbai ready to win vip passes to bollywoodmusicproject check outolaprivileges roadtobmp,0.1,Positive
355,and you are the best harfan stay awesome n u have a gr8 day,0.4,Positive
356,how did you get to work today,0.33,Positive
357,heading back to the city from bangalore airpo get 30 of on all your rides into the city,0,Neutral
358,"singersongwritertakesprime suv customers for a test drive
",0,Neutral
359,olaair,0,Neutral
360,pick your favorite movie from the batman trilogy steppinoutwithbatman,0.17,Positive
361,"any darkknight fans in hyderabad a cool contest is coming up for you folks

ready give us a few s to get staed",0.36,Positive
362,answer dark knight trivia and win movie passes to steppingout hyderabad detailssteppinoutwithbatman,-0.1,Negative
363,q1 in the movie the dark knight bruce wayne drives a super car what is the name of the car dont forget tosteppinoutwithbatman,-0.077,Negative
364,congrats javeed you have won yourself a couple pass please dm us your details steppinoutwithbatman,0.12,Positive
365,q2 how many academy award nominations did the dark knight movie get steppinoutwithbatman,0,Neutral
366,"thats right kushal congrats on winning q2 please dm your details 
q3 coming next steppinoutwithbatman",0.4,Positive
367,q3 which comic book adaptation did christopher nolan mainly use to script the dark knight steppinoutwithbatman dont forget to,-0.077,Negative
368,congrats amardeep youve got it right pls dm your details q4 coming next steppingoutwithbatman,0.2,Positive
369,q4 according to the dark knight who gave harvey dent his special coin which he flips throughout the movie steppinoutwithbatman,-0.17,Negative
370,congrats you have won a couples movie pass dm us your details steppinoutwithbatman,0,Neutral
371,q5 which character is in charge of applied sciences in the batman trilogy steppinoutwithbatman,0,Neutral
372,congrats you have won a couples movie pass dm us your details steppinoutwithbatman,0,Neutral
373,hi sohini are you looking for a cab to travel with a friend you can also book 2 seats on an ola share ride hope this helps,0.21,Positive
374,due to the heavy hyderabadrains peak pricing has been disabled in the city please stay safe olahelp,0.091,Positive
375,it was our pleasure taking the future chaered account to college,0.17,Positive
376,good evening vivek how can we help you,0.6,Positive
377,please check dm,0.5,Positive
378,booked a doctors appointment onride to the clinic in comfo with olaprime amp get 100 off book now,0,Neutral
